SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Lauriston Ct,Oakland,CA,94611,195000,,,Oakland,,9082,,23,,,Active,,,http://www.redfin.com/CA/Oakland/Lauriston-Ct-94611/home/22689108,Bridge MLS,40847803,N,Y,37.845168,-122.204504
MLS Listing,,Condo/Co-op,3151 Cuthbert Ave #2,Oakland,CA,94602,399888,2,1.5,Oakland,1148,6802,1985,23,348,80,Active,,,http://www.redfin.com/CA/Oakland/3151-Cuthbert-Ave-94602/unit-2/home/1432678,Bridge MLS,40847801,N,Y,37.7941264,-122.2145141
MLS Listing,,Condo/Co-op,325 Vernon St #205,Oakland,CA,94610,750000,3,2.0,Adams Point,1416,,1980,24,530,583,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/325-Vernon-St-94610/unit-205/home/996912,Bridge MLS,40847708,N,Y,37.815113,-122.2569812
MLS Listing,,Vacant Land,1448 16th St,Oakland,CA,94607,475000,,,West Oak,,3847,,24,,,Active,,,http://www.redfin.com/CA/Oakland/1448-16th-St-94607/home/148435034,Bridge MLS,40847690,N,Y,37.8125956,-122.2923762
MLS Listing,,Single Family Residential,964 21St St,Oakland,CA,94607,499000,3,2.0,West Oakland,840,2400,1982,25,594,,Active,,,http://www.redfin.com/CA/Oakland/964-21st-St-94607/home/1275511,Bridge MLS,40847619,N,Y,37.8139176,-122.2805082
MLS Listing,,Single Family Residential,2638 35th Ave,Oakland,CA,94619,555998,4,2.0,Allendale Park,1292,3135,1913,25,430,,Active,,,http://www.redfin.com/CA/Oakland/2638-35th-Ave-94619/home/1386188,Bridge MLS,40847609,N,Y,37.7883068,-122.2094337
MLS Listing,,Single Family Residential,7423 Fresno St,Oakland,CA,94605,699000,4,3.0,Oakland,1724,5492,1941,25,405,,Active,,,http://www.redfin.com/CA/Oakland/7423-Fresno-St-94605/home/1456975,Bridge MLS,40847608,N,Y,37.7634984,-122.1781748
MLS Listing,,Single Family Residential,6842 Flora St,Oakland,CA,94621,449000,2,1.0,Havenscourt,1005,3330,1926,25,447,,Active,,,http://www.redfin.com/CA/Oakland/6842-Flora-St-94621/home/1642569,Bridge MLS,40847591,N,Y,37.7621573,-122.1883294
MLS Listing,,Condo/Co-op,5283 Broadway Ter Unit 3B,Oakland,CA,94618,1195000,2,2.0,Rockridge,1897,,1976,25,630,350,Active,,,http://www.redfin.com/CA/Oakland/5283-Broadway-Ter-94618/unit-3B/home/2045094,Bridge MLS,40847568,N,Y,37.8373497,-122.2482397
MLS Listing,,Single Family Residential,1415 PERALTA St,Oakland,CA,94607,875000,3,3.5,Prescott,1600,1250,2018,25,547,,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/1415-Peralta-St-94607/home/144474764,Bridge MLS,40847557,N,Y,37.8116896,-122.2937029
MLS Listing,,Multi-Family (2-4 Unit),3401 Dakota,Oakland,CA,94602,729000,2,2.0,Laurel District,1320,5740,1943,25,552,,Active,,,http://www.redfin.com/CA/Oakland/3401-Dakota-St-94602/home/540205,Bridge MLS,40847546,N,Y,37.7935848,-122.2030053
MLS Listing,,Single Family Residential,2040 Crosby Ave,Oakland,CA,94601,699000,4,2.0,Alameda County,1601,4143,1914,25,437,,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/2040-Crosby-Ave-94601/home/835379,BAREIS,21830371,N,Y,37.7827741,-122.2168481
MLS Listing,,Condo/Co-op,1343 E 26Th St,Oakland,CA,94606,375000,2,1.0,Highland Park,810,9999,1964,26,463,401,Active,,,http://www.redfin.com/CA/Oakland/1343-E-26th-St-94606/home/12126725,Bridge MLS,40847512,N,Y,37.796672,-122.235595
